Time;Ed0Gnd;Ed0305;Ed0313;Ed0320;Ed0340;Ed0380;Ed0395;Ed0PAR
11,06722;0,00004395;0,001024089;0,01486661;0,03764779;0,09395054;0,1428099;0,1549714;0,000465316
11,07278;0,0000438;0,001033916;0,01489558;0,03758443;0,09315297;0,1397414;0,1508554;0,000437627
11,07833;0,00004375;0,001049251;0,015052;0,03793026;0,09425941;0,1428985;0,1549284;0,000461659
11,08389;0,0000434;0,001064098;0,0151829;0,03820219;0,09503153;0,1450597;0,1577354;0,000479421
11,08944;4,26E-05;0,001077636;0,01528986;0,03840225;0,09536869;0,145799;0,1586987;0,000486427
11,095;0,000042;0,001091227;0,01539885;0,03856871;0,09560814;0,1461561;0,1591389;0,000489118
11,10056;0,00004175;0,001103955;0,01547449;0,03865214;0,09540811;0,1450086;0,1575715;0,0004803
11,10611;0,00004255;0,001110971;0,01542753;0,0383366;0,09337781;0,1378466;0,1480678;0,000422448
11,11167;0,0000425;0,001125826;0,01554899;0,03854877;0,09368466;0,1379727;0,1480629;0,000419809
11,11722;0,0000427;0,001142233;0,01569361;0,03886822;0,09444392;0,1396117;0,1500471;0,000429296
11,12278;0,00004325;0,001162231;0,01592577;0,0394014;0,0961913;0,1443868;0,1561229;0,000462581
11,12833;0,0000422;0,001176405;0,01603191;0,0395521;0,09626512;0,1439452;0,1554057;0,000455971
11,13389;0,0000419;0,001191813;0,01614983;0,03977241;0,09664227;0,1446541;0,1562744;0,000461143
11,13944;0,00004265;0,001194475;0,01600017;0,03914797;0,09332893;0,1335733;0,1416933;0,000373417
11,145;0,00004225;0,001199565;0,01589821;0,03866545;0,09050668;0,1236449;0,1285428;0,000292495
11,15056;0,00004235;0,00121907;0,01609644;0,03909679;0,0916538;0,1262605;0,1317323;0,000308057
11,15611;0,00004195;0,001233186;0,01618458;0,03920754;0,09149897;0,1248983;0,1297799;0,000293795
11,16167;0,00004155;0,001251062;0,01634146;0,0395196;0,09225923;0,126434;0,1315614;0,000300723
11,16722;0,00004125;0,001268238;0,01648064;0,03978522;0,09271321;0,1268964;0,1319228;0,000298547
11,17278;0,00004055;0,001300608;0,01692515;0,04095882;0,09703336;0,1391977;0,1476332;0,000383822
11,17833;0,0000394;0,001334157;0,01738677;0,04217981;0,1016224;0,1526525;0,1649033;0,000482766
11,18389;0,000039;0,001353557;0,01756005;0,04255239;0,1026912;0,1553961;0,1683884;0,000502842
11,18944;0,00003905;0,001367472;0,01762931;0,0426078;0,1023899;0,153901;0,1663307;0,000489253
11,195;0,0000413;0,001381524;0,01770139;0,04268277;0,1021189;0,1524565;0,164315;0,000475033
11,20056;0,0000419;0,001398343;0,01781984;0,04289828;0,1024953;0,1530001;0,1648805;0,000476131
11,20611;0,00004185;0,001411461;0,01787873;0,04289228;0,1019165;0,1505322;0,1615016;0,000452225
11,21167;0,0000419;0,001433371;0,01809071;0,04337429;0,1033716;0,1543248;0,1662592;0,000477893
11,21722;0,000041;0,001452127;0,01823525;0,04365903;0,1040497;0,1558426;0,1681106;0,000487253
11,22278;0,0000412;0,00146958;0,01835732;0,04387246;0,104431;0,1564557;0,1687761;0,000488818
11,22833;0,0000413;0,001491783;0,01855637;0,04432834;0,1058359;0,1602007;0,1735221;0,000514895
11,23389;0,0000409;0,001509884;0,0186866;0,04457098;0,106387;0,1615127;0,1751429;0,000523152
11,23944;0,00004165;0,001528605;0,01882806;0,04483894;0,1070275;0,1631059;0,1770759;0,000532649
